"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"148",1970,36005022500,6493.59,0.02,0.76,0.21,7002,0.04,94.42,0.06,0.57,2426,1920,160,1002,2101,587,1502,1813
"149",1970,36005022701,6506.35,0.02,0.77,0.2,5191.24,0.04,91.33,0.06,0.56,1729.04,1483.36,151.7,771.28,1379.04,506.8,1155.87,1248.65
"150",1970,36005022702,7305.91,0,0.88,0.12,1600.89,0.03,84.66,0.03,0.63,538.92,418.49,31.01,198.94,490.43,46.91,325.98,470.97
"151",1970,36005022703,7285.71,0.02,0.95,0.03,765.98,0.06,88.33,0.04,0.65,316.5,181.74,23.94,130.32,206.57,21.28,99.29,288.13
"152",1970,36005022800,8512.06,0.06,1,0,5072.79,0.03,105.71,0.07,0.62,1251.38,1097.03,21.1,569.57,1774.16,78.3,788.14,1799.24
"153",1970,36005022901,7434.85,0.05,0.67,0.27,5584.91,0.04,95,0.05,0.53,1578.48,1686.54,161.06,716,1190.11,442.29,1274.54,1260.83
"154",1970,36005022902,6119.27,0.04,0.6,0.39,3161.1,0.08,87.65,0.02,0.51,784.02,887.72,177.01,567.68,739.32,291.44,985.16,514.04
"155",1970,36005023000,7010.42,0.23,0.97,0.01,2399.21,0.02,81.13,0.02,0.6,689.62,516.97,49.9,285.43,582.84,152.7,568.86,620.76
"156",1970,36005023100,6687.09,0.05,0.64,0.33,2415.3,0.06,86.29,0.02,0.53,472.44,556.71,116.94,493.45,250.72,55.2,836.89,392.62
"157",1970,36005023200,8536.36,0.36,0.98,0.01,2383,0.02,83.14,0.02,0.6,643,473,36,382,816,287,631,517
"158",1970,36005023301,6787.31,0.01,0.8,0.18,5054,0.04,86.4,0.04,0.58,1541,1254,104,733,1085,249,1112,1330
"159",1970,36005023302,7273.59,0.04,0.89,0.09,2728,0.04,92.54,0.04,0.57,833,691,52,330,783,209,596,666
"160",1970,36005023501,6298.61,0.01,0.9,0.06,2695,0.05,92.79,0.07,0.61,925,724,38,287,600,112,493,821
"161",1970,36005023502,6782.05,0.03,0.89,0.08,3252,0.03,93.9,0.05,0.62,1047,843,57,519,926,246,589,1098
"162",1970,36005023600,7418.6,0.25,0.98,0,1595,0.02,78.63,0.02,0.68,586,421,20,185,315,131,391,390
"163",1970,36005023702,6293.48,0.01,0.89,0.08,1049,0.11,79.64,0.03,0.52,343,215,23,118,415,140,294,223
"164",1970,36005023703,6952.15,0.01,0.94,0.05,3774.18,0.03,88.42,0.05,0.61,1254.12,1017.14,47.85,382.77,1004.2,103.57,661.4,1192.77
"165",1970,36005023704,6952.15,0.01,0.94,0.05,2930.82,0.03,88.42,0.05,0.61,973.88,789.86,37.15,297.23,779.8,80.43,513.6,926.23
"166",1970,36005023800,9679.64,0.37,0.99,0.01,2262,0.01,89.76,0.01,0.56,522,327,7,150,472,125,648,445
"167",1970,36005023900,6207.6,0.03,0.93,0.06,6978,0.04,82.4,0.03,0.63,2667,1819,145,839,1574,362,1487,1952
"168",1970,36005024000,7725,0.34,0.91,0.08,3147,0.04,81.76,0.02,0.57,950,467,45,345,806,226,829,648
"169",1970,36005024100,5850,0.02,0.72,0.25,7063,0.06,85.26,0.02,0.54,2182,1836,244,1260,1215,311,1994,1362
"170",1970,36005024300,6279.14,0.04,0.64,0.32,6399,0.02,86.27,0.02,0.49,1807,1795,283,1427,837,387,2037,913
"171",1970,36005024400,9327.27,0.46,1,0,2286,0.03,95.98,0.02,0.62,425,371,12,101,532,18,606,450
"172",1970,36005024501,7870,0.07,0.79,0.18,4577.46,0.02,88.76,0.05,0.49,1445,1138.35,116.93,494.66,999.06,349.07,1237.51,814.5
"173",1970,36005024502,7870,0.07,0.79,0.18,3408.54,0.02,88.76,0.05,0.49,1076,847.65,87.07,368.34,743.94,259.93,921.49,606.5
"174",1970,36005024600,10758.24,0.43,1,0,2189,0.03,131.09,0.03,0.57,250,403,20,133,482,31,522,400
"175",1970,36005024700,9161.07,0.04,0.69,0.27,1367.55,0.06,143.24,0.13,0.49,169.57,458.09,13.65,157.38,166.28,21,299.39,174.38
"176",1970,36005024800,10161.29,0.28,1,0,3270,0.04,155.37,0.09,0.55,301,816,31,133,698,82,622,700
"177",1970,36005025000,9857.14,0.43,0.99,0,2949,0.02,120.68,0.03,0.59,504,553,25,302,839,150,733,550
"178",1970,36005025100,6077.67,0.03,0.76,0.18,9386,0.04,83.87,0.03,0.48,2557,2376,302,1976,1531,790,2720,1525
"179",1970,36005025200,9405.66,0.51,0.97,0.03,2621.85,0.05,102.84,0.02,0.58,538.48,457.39,31,181.66,608.88,130.65,715.75,511.57
"180",1970,36005025300,8214.95,0.04,0.96,0.03,5243,0.05,83.85,0.04,0.59,1701,1105,48,316,1624,232,1180,1410
"181",1970,36005025400,9166.67,0.44,0.99,0,2377,0.04,113.1,0.05,0.59,485,438,23,193,411,23,659,422
"182",1970,36005025500,7602.56,0.03,0.98,0.01,5125,0.04,92.08,0.08,0.53,1698,955,31,414,1032,267,1069,1466
"183",1970,36005025600,9069.77,0.37,1,0,1813.15,0.01,86.25,0.01,0.54,424.52,291.61,0,80.34,352.12,79.35,457.25,435.43
"184",1970,36005025700,8785.71,0.07,0.86,0.12,1472.45,0.01,87.39,0.08,0.55,544.43,330.91,32.35,114.62,247.72,0,334.61,346.62
"185",1970,36005026100,11975.61,0.01,0.89,0.05,3105,0.01,190.96,0.19,0.5,37,773,17,137,549,129,398,998
"186",1970,36005026300,7921.05,0.04,0.97,0.02,5301,0.03,84.41,0.05,0.6,1676,1002,84,403,1460,177,1179,1704
"187",1970,36005026400,9409.09,0.47,0.99,0,5169,0.02,90.68,0.02,0.6,1363,815,33,391,1206,55,1264,1154
"188",1970,36005026500,8554.55,0.04,0.99,0,4958,0.02,88.9,0.05,0.59,1712,1041,56,538,1093,119,1035,1579
